"district","rooms","budget_segment","apartment_count","avg_area"
Alanya(Center),"1+1","2. 80k - 150k €",45,53.0
Alanya(Center),"1+1","3. 150k - 300k €",48,57.0
Alanya(Center),"1+1","4. > 300k €",4,52.0
Alanya(Center),"2+1","2. 80k - 150k €",20,101.0
Alanya(Center),"2+1","3. 150k - 300k €",39,96.0
Alanya(Center),"2+1","4. > 300k €",7,121.0
Alanya(Center),"3+1","2. 80k - 150k €",1,120.0
Alanya(Center),"3+1","3. 150k - 300k €",17,153.0
Alanya(Center),"3+1","4. > 300k €",20,186.0
Alanya(Center),"3+2","4. > 300k €",2,253.0
Alanya(Center),"4+1","3. 150k - 300k €",2,220.0
Alanya(Center),"4+1","4. > 300k €",11,222.0
Alanya(Center),"4+2","4. > 300k €",1,200.0
Alanya(Center),"5+1","3. 150k - 300k €",1,280.0
Alanya(Center),"5+1","4. > 300k €",1,260.0
Avsallar,"1+1","1. < 80k €",32,52.0
Avsallar,"1+1","2. 80k - 150k €",59,54.0
Avsallar,"1+1","3. 150k - 300k €",5,53.0
Avsallar,"2+1","2. 80k - 150k €",16,98.0
Avsallar,"2+1","3. 150k - 300k €",6,95.0
Avsallar,"3+1","2. 80k - 150k €",1,110.0
Avsallar,"3+1","3. 150k - 300k €",5,170.0
Avsallar,"3+1","4. > 300k €",2,182.0
Avsallar,"3+2","4. > 300k €",1,291.0
Avsallar,"4+1","3. 150k - 300k €",2,220.0
Avsallar,"4+1","4. > 300k €",1,150.0
Avsallar,"5+1","2. 80k - 150k €",1,180.0
Avsallar,"5+1","3. 150k - 300k €",2,215.0
Cikcilli,"1+0","2. 80k - 150k €",1,35.0
Cikcilli,"1+1","2. 80k - 150k €",13,60.0
Cikcilli,"1+1","3. 150k - 300k €",2,55.0
Cikcilli,"2+1","1. < 80k €",1,110.0
Cikcilli,"2+1","2. 80k - 150k €",6,107.0
Cikcilli,"2+1","3. 150k - 300k €",17,114.0
Cikcilli,"2+1","4. > 300k €",2,102.0
Cikcilli,"3+1","3. 150k - 300k €",5,199.0
Cikcilli,"3+1","4. > 300k €",3,197.0
Cikcilli,"4+1","3. 150k - 300k €",1,170.0
Cikcilli,"4+1","4. > 300k €",1,220.0
Cikcilli,"4+2","3. 150k - 300k €",1,240.0
Demirtaş,"1+1","1. < 80k €",6,54.0
Demirtaş,"1+1","2. 80k - 150k €",18,57.0
Demirtaş,"2+1","2. 80k - 150k €",4,89.0
Demirtaş,"2+1","3. 150k - 300k €",1,110.0
Demirtaş,"3+1","3. 150k - 300k €",2,135.0
Gazipaşa,"1+0","2. 80k - 150k €",1,46.0
Gazipaşa,"1+1","1. < 80k €",9,50.0
Gazipaşa,"1+1","2. 80k - 150k €",23,51.0
Gazipaşa,"2+1","2. 80k - 150k €",3,109.0
Gazipaşa,"2+1","3. 150k - 300k €",2,115.0
Gazipaşa,"3+1","3. 150k - 300k €",3,144.0
Gazipaşa,"3+1","4. > 300k €",2,208.0
Gazipaşa,"4+2","4. > 300k €",1,280.0
Kargıcak,"1+1","1. < 80k €",4,50.0
Kargıcak,"1+1","2. 80k - 150k €",32,57.0
Kargıcak,"1+1","3. 150k - 300k €",27,61.0
Kargıcak,"1+1","4. > 300k €",1,56.0
Kargıcak,"2+1","2. 80k - 150k €",5,106.0
Kargıcak,"2+1","3. 150k - 300k €",10,120.0
Kargıcak,"2+1","4. > 300k €",5,120.0
Kargıcak,"3+1","2. 80k - 150k €",2,120.0
Kargıcak,"3+1","3. 150k - 300k €",9,215.0
Kargıcak,"3+1","4. > 300k €",17,203.0
Kargıcak,"3+2","3. 150k - 300k €",1,175.0
Kargıcak,"4+1","3. 150k - 300k €",4,254.0
Kargıcak,"4+1","4. > 300k €",6,236.0
Kargıcak,"4+2","4. > 300k €",2,243.0
Kargıcak,"5+1","4. > 300k €",1,190.0
Kestel,"1+0","2. 80k - 150k €",1,40.0
Kestel,"1+1","1. < 80k €",1,75.0
Kestel,"1+1","2. 80k - 150k €",26,57.0
Kestel,"1+1","3. 150k - 300k €",20,54.0
Kestel,"1+1","4. > 300k €",1,55.0
Kestel,"2+1","2. 80k - 150k €",4,109.0
Kestel,"2+1","3. 150k - 300k €",21,112.0
Kestel,"2+1","4. > 300k €",1,120.0
Kestel,"3+1","2. 80k - 150k €",1,140.0
Kestel,"3+1","3. 150k - 300k €",10,164.0
Kestel,"3+1","4. > 300k €",1,160.0
Kestel,"3+2","4. > 300k €",1,248.0
Kestel,"4+1","3. 150k - 300k €",6,217.0
Kestel,"4+1","4. > 300k €",4,189.0
Kestel,"5+1","3. 150k - 300k €",1,280.0
Kestel,"5+1","4. > 300k €",2,240.0
Konaklı,"1+1","2. 80k - 150k €",5,55.0
Konaklı,"1+1","3. 150k - 300k €",3,67.0
Konaklı,"2+1","2. 80k - 150k €",3,120.0
Konaklı,"2+1","3. 150k - 300k €",7,112.0
Konaklı,"3+1","3. 150k - 300k €",3,167.0
Konaklı,"3+1","4. > 300k €",2,210.0
Konaklı,"4+1","4. > 300k €",1,170.0
Mahmutlar,"1+0","1. < 80k €",3,47.0
Mahmutlar,"1+0","2. 80k - 150k €",2,64.0
Mahmutlar,"1+1","1. < 80k €",25,53.0
Mahmutlar,"1+1","2. 80k - 150k €",107,58.0
Mahmutlar,"1+1","3. 150k - 300k €",27,61.0
Mahmutlar,"1+1","4. > 300k €",1,70.0
Mahmutlar,"2+1","1. < 80k €",1,100.0
Mahmutlar,"2+1","2. 80k - 150k €",99,111.0
Mahmutlar,"2+1","3. 150k - 300k €",63,112.0
Mahmutlar,"2+1","4. > 300k €",12,120.0
Mahmutlar,"2+2","2. 80k - 150k €",1,117.0
Mahmutlar,"3+1","2. 80k - 150k €",7,128.0
Mahmutlar,"3+1","3. 150k - 300k €",18,176.0
Mahmutlar,"3+1","4. > 300k €",9,197.0
Mahmutlar,"3+2","3. 150k - 300k €",2,218.0
Mahmutlar,"3+2","4. > 300k €",1,240.0
Mahmutlar,"4+1","3. 150k - 300k €",11,214.0
Mahmutlar,"4+1","4. > 300k €",4,239.0
Mahmutlar,"5+1","3. 150k - 300k €",1,220.0
Oba,"1+1","1. < 80k €",10,54.0
Oba,"1+1","2. 80k - 150k €",83,55.0
Oba,"1+1","3. 150k - 300k €",29,55.0
Oba,"1+1","4. > 300k €",2,58.0
Oba,"2+1","2. 80k - 150k €",25,101.0
Oba,"2+1","3. 150k - 300k €",28,105.0
Oba,"2+1","4. > 300k €",8,111.0
Oba,"3+1","2. 80k - 150k €",1,130.0
Oba,"3+1","3. 150k - 300k €",25,158.0
Oba,"3+1","4. > 300k €",9,158.0
Oba,"3+2","3. 150k - 300k €",2,205.0
Oba,"3+2","4. > 300k €",1,210.0
Oba,"4+1","2. 80k - 150k €",1,200.0
Oba,"4+1","3. 150k - 300k €",12,205.0
Oba,"4+1","4. > 300k €",5,229.0
Oba,"5+1","3. 150k - 300k €",1,250.0
Okurcalar,"1+1","2. 80k - 150k €",4,53.0
Okurcalar,"2+1","2. 80k - 150k €",1,65.0
Payallar,"1+0","1. < 80k €",1,36.0
Payallar,"1+1","1. < 80k €",9,53.0
Payallar,"1+1","2. 80k - 150k €",18,61.0
Payallar,"2+1","2. 80k - 150k €",3,97.0
Payallar,"3+2","4. > 300k €",1,225.0
Tosmur,"1+1","2. 80k - 150k €",7,63.0
Tosmur,"1+1","3. 150k - 300k €",13,59.0
Tosmur,"2+1","2. 80k - 150k €",15,111.0
Tosmur,"2+1","3. 150k - 300k €",14,111.0
Tosmur,"2+1","4. > 300k €",2,110.0
Tosmur,"3+1","2. 80k - 150k €",1,165.0
Tosmur,"3+1","3. 150k - 300k €",4,171.0
Tosmur,"3+1","4. > 300k €",7,203.0
Tosmur,"4+1","4. > 300k €",2,248.0
Türkler,"1+1","1. < 80k €",1,58.0
Türkler,"1+1","2. 80k - 150k €",3,74.0
Türkler,"1+1","3. 150k - 300k €",5,76.0
Türkler,"2+1","2. 80k - 150k €",1,90.0
Türkler,"2+1","3. 150k - 300k €",2,110.0
Türkler,"2+1","4. > 300k €",3,157.0
Türkler,"3+1","4. > 300k €",1,178.0
